content_category,total_count,avg_preference,avg_release_year
"TV Show - Crime TV Shows, International TV Shows, Romantic TV Shows",7,69.85714285714286,2014.5714285714287
"TV Show - Crime TV Shows, International TV Shows, Spanish-Language TV Shows",62,69.93548387096774,2018.274193548387
"TV Show - Crime TV Shows, International TV Shows, TV Action & Adventure",18,75.05555555555556,2017.5
"TV Show - Crime TV Shows, International TV Shows, TV Comedies",10,69.5,2018.3
"TV Show - Crime TV Shows, International TV Shows, TV Dramas",110,68.7,2017.7363636363636
"TV Show - Crime TV Shows, International TV Shows, TV Mysteries",1,60.0,2020.0
"TV Show - Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",1,97.0,2017.0
"TV Show - Crime TV Shows, International TV Shows, TV Thrillers",1,49.0,2021.0
"TV Show - Crime TV Shows, Kids' TV",1,44.0,2018.0
"TV Show - Crime TV Shows, Kids' TV, TV Comedies",2,67.0,2016.5
"TV Show - Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows",1,68.0,2014.0
"TV Show - Crime TV Shows, Romantic TV Shows, TV Dramas",2,70.0,2017.5
"TV Show - Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2,58.5,2017.0
"TV Show - Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2,85.0,2019.0
"TV Show - Crime TV Shows, TV Action & Adventure",3,85.33333333333333,2017.6666666666667
"TV Show - Crime TV Shows, TV Action & Adventure, TV Comedies",4,67.0,2020.25
"TV Show - Crime TV Shows, TV Action & Adventure, TV Dramas",11,70.27272727272727,2018.1818181818182
